inside_temperature,previous_heating_status,heating
15.0,1,1
15.1,1,1
15.2,1,1
15.3,1,1
15.4,1,1
15.5,1,1
15.6,1,1
15.7,1,1
15.8,1,1
15.9,1,1
16.0,1,1
16.1,1,1
16.2,1,1
16.3,1,1
16.4,1,1
16.5,1,1
16.6,1,1
16.7,1,1
16.8,1,1
16.9,1,1
17.0,1,1
17.1,1,1
17.2,1,1
17.3,1,1
17.4,1,1
17.5,1,1
17.6,1,1
17.7,1,1
17.8,1,1
17.9,1,1
18.0,1,1
18.1,1,1
18.2,1,1
18.3,1,1
18.4,1,1
18.5,1,1
18.6,1,1
18.7,1,1
18.8,1,1
18.9,1,1
19.0,1,1
19.1,1,1
19.2,1,1
19.3,1,1
19.4,1,1
19.5,1,1
19.6,1,1
19.7,1,1
19.8,1,1
19.9,1,1
20.0,0,1
20.0,1,1
20.1,0,0
20.1,1,1
20.2,0,0
20.2,1,1
20.3,0,0
20.3,1,1
20.4,0,0
20.4,1,1
20.5,0,0
20.5,1,1
20.6,0,0
20.6,1,1
20.7,0,0
20.7,1,1
20.8,0,0
20.8,1,1
20.9,0,0
20.9,1,1
21.0,0,0
21.0,1,1
21.1,1,1
21.2,0,0
21.2,1,1
21.3,0,0
21.3,1,1
21.4,0,0
21.4,1,1
21.5,0,0
21.5,1,1
21.6,0,0
21.6,1,1
21.7,0,0
21.7,1,1
21.8,0,0
21.8,1,1
21.9,0,0
21.9,1,1
22.0,0,0
22.0,1,1
22.1,0,0
22.1,1,1
22.2,0,0
22.2,1,1
22.3,0,0
22.3,1,1
22.4,0,0
22.4,1,1
22.5,0,0
22.5,1,1
22.6,0,0
22.6,1,1
22.7,0,0
22.7,1,1
22.8,0,0
22.8,1,1
22.9,0,0
22.9,1,1
23.0,0,0
23.0,1,1
23.1,0,0
23.1,1,1
23.2,0,0
23.2,1,1
23.3,0,0
23.3,1,1
23.4,0,0
23.4,1,1
23.5,0,0
23.5,1,1
23.6,0,0
23.6,1,1
23.7,0,0
23.7,1,1
23.8,0,0
23.8,1,1
23.9,0,0
23.9,1,1
24.0,0,0
24.0,1,1
24.1,0,0
24.1,1,1
24.2,0,0
24.2,1,1
24.3,0,0
24.3,1,1
24.4,0,0
24.4,1,1
24.5,0,0
24.5,1,1
24.6,0,0
24.6,1,1
24.7,0,0
24.7,1,1
24.8,0,0
24.8,1,1
24.9,0,0
24.9,1,1
25.0,0,0
25.0,1,1
25.1,0,0
25.1,1,1
25.2,0,0
25.2,1,1
25.3,0,0
25.3,1,1
25.4,0,0
25.4,1,1
25.5,0,0
25.5,1,1
25.6,0,0
25.6,1,1
25.7,0,0
25.7,1,1
25.8,0,0
25.8,1,1
25.9,0,0
25.9,1,1
26.0,0,0
26.0,1,1
26.1,0,0
26.1,1,1
26.2,0,0
26.2,1,1
26.3,0,0
26.3,1,1
26.4,0,0
26.4,1,1
26.5,0,0
26.5,1,1
26.6,0,0
26.6,1,1
26.7,0,0
26.7,1,1
26.8,0,0
26.8,1,1
26.9,0,0
26.9,1,1
27.0,1,0
27.1,0,0
27.2,0,0
27.3,0,0
27.4,0,0
27.5,0,0
27.6,0,0
27.7,0,0
27.8,0,0
27.9,0,0
28.0,0,0
28.1,0,0
28.2,0,0
28.3,0,0
28.4,0,0
28.5,0,0
28.6,0,0
28.7,0,0
28.8,0,0
28.9,0,0
29.0,0,0
29.1,0,0
29.2,0,0
29.3,0,0
29.4,0,0
29.5,0,0
29.6,0,0
29.7,0,0
29.8,0,0
29.9,0,0
30.0,0,0
